"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price"
"Andhra Pradesh","Chittor","Mulakalacheruvu","Tomato","Local","19/04/2021","500","800","700"
"Andhra Pradesh","Chittor","Vayalapadu","Tomato","Local","19/04/2021","240","400","320"
"Andhra Pradesh","Kurnool","Alur","Jowar(Sorghum)","Jowar ( White)","19/04/2021","2300","2400","2350"
"Andhra Pradesh","Kurnool","Atmakur","Paddy(Dhan)(Common)","Sona Mahsuri","19/04/2021","1800","1800","1800"
"Andhra Pradesh","Kurnool","Pattikonda","Onion","Local","19/04/2021","800","1000","900"
"Andhra Pradesh","Kurnool","Pattikonda","Tomato","Local","19/04/2021","800","1000","900"
"Chattisgarh","Balrampur","Kusmee","Maize","Local","19/04/2021","1855","1855","1855"
"Chattisgarh","Balrampur","Kusmee","Paddy(Dhan)(Common)","I.R. 36","19/04/2021","1890","1890","1890"
"Chattisgarh","Dhamtari","Nagari","Mahua","Mahua","19/04/2021","3000","4000","3200"
"Chattisgarh","Dhamtari","Nagari","Paddy(Dhan)(Common)","I.R. 36","19/04/2021","1510","1535","1525"
"Chattisgarh","Kabirdham","Pandariya","Wheat","Local","19/04/2021","1550","1600","1575"
"Chattisgarh","Kabirdham","Pipriya","Wheat","Deshi","19/04/2021","1400","1400","1400"
"Chattisgarh","Raipur","Navapara","Paddy(Dhan)(Common)","MTU-1010","19/04/2021","1460","1506","1492"
"Chattisgarh","Sukma","Doranpal","Paddy(Dhan)(Common)","Paddy Coarse","19/04/2021","1200","1300","1280"
"Chattisgarh","Sukma","Konta","Paddy(Dhan)(Common)","Paddy Coarse","19/04/2021","1250","1300","1280"
"Chattisgarh","Sukma","Kukanar","Paddy(Dhan)(Common)","Paddy Coarse","19/04/2021","1250","1300","1280"
"Chattisgarh","Sukma","Sukma","Paddy(Dhan)(Common)","Paddy Coarse","19/04/2021","1250","1300","1280"
"Chattisgarh","Surajpur","Surajpur","Paddy(Dhan)(Common)","I.R. 36","19/04/2021","1890","1890","1890"
"Gujarat","Ahmedabad","Dhandhuka","Cotton","Shanker 6 (B) 30mm FIne","19/04/2021","4750","5500","5125"
"Gujarat","Amreli","Damnagar","Bhindi(Ladies Finger)","Bhindi","19/04/2021","1500","1700","1600"
"Gujarat","Amreli","Damnagar","Brinjal","Other","19/04/2021","1200","1500","1300"
"Gujarat","Amreli","Damnagar","Cabbage","Cabbage","19/04/2021","700","900","800"
"Gujarat","Amreli","Damnagar","Cauliflower","Cauliflower","19/04/2021","1500","1800","1700"
"Gujarat","Amreli","Damnagar","Coriander(Leaves)","Coriander","19/04/2021","700","900","800"
"Gujarat","Amreli","Damnagar","Ginger(Green)","Green Ginger","19/04/2021","4000","4500","4200"
"Gujarat","Amreli","Damnagar","Green Chilli","Green Chilly","19/04/2021","1800","2000","1900"
"Gujarat","Amreli","Damnagar","Guar","Gwar","19/04/2021","4000","5000","4500"
"Gujarat","Amreli","Damnagar","Lemon","Lemon","19/04/2021","5000","6000","5500"
